3.5,42.515,63.367,155.973,12.66,68.71,0.33,1.12,8.31,83.72,96.57,6.97,115.36,5.52,26.36,74.605
4.58,33.537,45.579,137.383,14.36,74.18,0.23,0.91,3.39,58.77,64.13,11.12,94.04,4.07,24.44,75.199
8.61,14.781,17.456,101.032,7.61,55.82,0.13,0.78,3.24,39.73,44.72,14.42,83.79,2.61,22.99,77.06
10.61,12.525,16.172,61.599,6.02,31.53,0.15,0.84,4.33,46.78,53.45,11.2,83.75,2.52,22.5,78.628
11.91,19.76,24.329,66.727,8.79,6.59,0.18,0.92,9.29,60.59,74.95,7.82,95.88,2.97,21.99,80.523
12.46,14.384,18.831,60.954,10.76,9.25,0.15,0.88,7.6,53.3,65.03,9.97,91.86,2.93,21.73,80.559
25.96,6.113,9.86,30.99,10.24,23.97,0.1,0.47,3,41.91,46.57,10.16,74.05,1.71,21.46,65.625
18.11,11.71,15.97,36.747,7.14,15.03,0.11,0.64,4.17,47.7,54.12,9.67,80.23,2.31,21.28,73.043
28.5,5.736,8.535,26.231,6.28,31.31,0.06,0.46,2.59,35.45,39.4,11.57,70.78,1.65,20.51,65.934
27.96,5.162,7.303,27.607,7.25,32.96,0.07,0.48,2.74,33.04,37.22,12.13,70.13,1.35,20.56,66.493
14.47,12.839,18.157,52.841,7.94,33.11,0.1,0.69,7.38,42.79,54.11,10.28,81.92,1.89,20.52,75.009
18.57,8.121,11.324,48.662,6.89,39.93,0.09,0.62,7.24,41.41,52.5,10.64,81.32,1.49,20.73,73.311
18.29,14.765,18.632,48.054,4.53,39.46,0.15,0.74,6.56,52.81,62.9,11.42,93.7,2.17,21.17,76.43
15.99,15.734,21.502,62.485,5.38,29.6,0.15,0.71,7.78,54.4,66.38,10.76,95.35,2.99,20.51,79.884
15.47,15.632,19.958,68.3,6.59,14.89,0.2,0.78,12.94,58.64,78.56,7.92,99.9,3.34,20.42,78.802
6.82,24.147,30.19,64.378,3.92,12.32,0.17,0.77,10.3,48.32,64.2,11.62,95.48,4.1,20.44,83.274
5.71,25.29,32.627,73.745,3.94,7.3,0.23,0.8,10.36,50.68,66.63,10.96,96.1,4.11,20.18,85.882
6.56,23.88,30.541,66.669,4.46,31.65,0.12,0.7,9,15.78,29.48,21.63,87.94,3.27,20.06,84.61
5.95,26.867,34.032,65.275,4.52,25.69,0.12,0.69,8.24,18.28,30.77,20.35,85.79,3.25,20.1,85.135
6.15,27.711,34.99,67.501,4.38,22.24,0.15,0.69,7.32,19.82,30.93,19.64,84.04,3.19,19.91,84.94
5.82,27.863,35.963,68.683,4.74,18.57,0.15,0.72,7.53,24.48,35.9,17.81,84.15,3.27,19.94,84.879
5.93,30.766,39.109,72.2,5.46,16.99,0.16,0.91,17.05,42.61,68.85,10.76,97.3,2.97,20.38,81.631
5.89,30.986,39.099,71.995,6.18,28.72,0.13,0.87,14.99,30.65,53.67,15.54,95.63,3.12,21.09,79.772
4.38,37.3,52.591,111.067,8.84,58.7,0.13,0.84,3.01,44.64,49.28,12.16,82.27,3.64,20.64,78.925
4.62,32.528,45.733,103.522,5.17,33.22,0.13,0.81,3.13,37.06,41.86,14.21,80.36,3.33,20.05,84.98
5.46,25.375,34.913,82.02,5.17,20.25,0.1,0.77,3.3,35.44,40.49,13.97,78.34,2.89,19.44,87.65
6.03,28.911,38.498,74.87,6.68,13.46,0.18,0.87,23.16,35.32,70.96,13.69,107.92,3.08,21.3,80.855
6.11,29.849,39.765,81.485,7.89,13.66,0.29,1.08,36.96,59.99,116.74,5.02,130.3,4.24,22.55,79.646
5.37,34.668,46.428,111.45,6.37,65.39,0.22,1.01,15.65,60.38,84.42,10.25,112.07,3.56,28.24,71.282
5.15,41.749,55.911,110.85,6.7,18.61,0.32,1.04,11.35,65.54,83.03,5.91,98.89,4.44,22.07,78.718
4.27,41,56.043,111.307,7.58,2.16,0.53,1.25,54.74,58.65,142.83,6.17,159.58,5.46,21.39,83.945
2.38,6.211,6.807,38.767,2.71,57.27,0,0.59,2.28,11.06,14.5,20.16,68.95,0.92,19.22,95.534
6.84,4.447,5.126,20.957,2.56,55.47,0.04,0.57,2.22,10.82,14.18,19.35,66.46,0.92,18.41,96.589
4.94,8.945,10.167,23.301,2.46,48.9,0,0.61,2.24,6.17,9.47,20.52,64.88,1.04,19.07,95.727
6.3,9.709,11.51,23.118,2.67,46.58,0,0.62,2.25,6.24,9.56,19.91,63.41,1.25,18.63,95.58
11.42,12.651,15.576,26.422,4.22,40.54,0,0.63,2.29,9.49,12.92,18.8,63.82,1.44,17.38,94.025
10.3,5.697,6.242,15.631,3.01,52.9,0,0.61,2.2,9,12.28,17.77,60.4,0.54,16.97,92.321
18.75,5.913,6.682,9.299,2.94,49.3,0,0.58,2.41,12.81,16.47,16.64,61.54,0.56,15.05,88.475
9.39,4.352,5.768,9.104,2.75,49.76,0,0.57,2.77,13.61,17.83,16.42,62.26,0.48,15.54,88.928
25.92,2.821,3.338,10.835,4.11,56.64,0,0.58,3.47,16.09,21.37,15.95,64.54,0.57,17.21,80.533
30.91,2.577,2.772,5.602,4.03,68.13,0,0.46,2.7,9.39,13.45,17.37,60.49,0.51,19.21,64.131
29.94,3.824,4.482,9.848,3.85,64.79,0,0.44,2.53,13.27,17.11,16.3,61.26,0.59,18.58,62.025
30.09,4.384,5.118,16.534,5.3,59.64,0,0.45,2.7,17.64,21.74,15.18,62.85,0.65,18.42,61.548
27.69,6.399,8.014,20.072,6.67,50.14,0,0.49,2.74,26.14,30.33,12.86,65.18,0.81,17.74,62.43
22.22,13.309,16.367,34.308,4.7,30.28,0.04,0.56,3.21,36.38,41.33,10.56,69.96,1.52,17.24,67.176
24.79,9.558,11.068,29.088,5.4,34.79,0.03,0.54,2.97,31.7,36.26,12.32,69.67,1.2,16.61,68.199
21.61,10.803,12.869,20.516,6.51,29.29,0.03,0.54,3.06,35.77,40.45,10.63,69.26,1.28,16.57,70.085
21.45,10.175,12.482,23.812,6.96,25.12,0.1,0.56,3.53,37.64,43.04,10.48,71.48,1.57,15.95,71.938
24.74,7.43,9.164,25.361,5.58,38.96,0.01,0.49,2.6,23.08,27.03,14.79,67.13,1.09,15.39,71.987
24.5,7.811,8.466,19.434,4.54,48.23,0,0.46,2.35,14.14,17.68,16.88,63.4,0.89,15.4,72.586
27.43,3.995,4.822,16.657,3.62,59.34,0,0.43,2.09,6.63,9.66,18.42,59.56,0.56,14.72,77.542
28.88,4.171,4.147,11.576,4.07,57.44,0,0.43,2.09,7.88,10.94,17.57,58.58,0.43,14.62,74.754
29.66,5.415,5.514,9.974,4.04,52.01,0.02,0.44,2.36,8.28,11.77,17.73,59.82,0.44,15.33,73.534
29.7,6.484,6.901,12.349,4,46.39,0.04,0.45,2.66,11.28,15.26,16.78,60.76,0.54,15.44,73.894
27.33,7.755,9.378,16.566,4.06,35.84,0.05,0.53,3.57,22.18,27.61,13.21,63.4,0.9,15.13,74.878
21.15,11.811,14.392,24.087,5.23,23.89,0.05,0.58,6.12,31.56,40.82,10.65,69.71,1.3,14.78,78.816
20.26,10.325,13.43,33.124,6.46,26.79,0.08,0.65,11.93,29.51,47.74,11.79,79.71,1.66,16.06,79.761
21.96,8.553,11.1,37.366,5.4,42.88,0.06,0.62,13,18.8,38.64,15.66,81.07,1.38,17.24,75.673
20.73,9.918,13.29,34.131,5.22,50.82,0.07,0.64,13.69,23.15,44.07,13.77,81.39,1.64,19.16,73.871
22.49,7.217,10.033,32.431,4.51,62.74,0.03,0.59,10.55,12.98,29.04,17.74,77.06,1.12,20.69,71.693
20.58,6.525,8.765,27.029,5.04,64.32,0.02,0.59,9.1,15.5,29.34,16.27,73.4,1.14,20.69,70.223
14.7,16.127,19.707,34.002,8.36,54.22,0.03,0.64,7.53,32.95,44.37,10.41,72.6,1.57,19.6,72.067
11.79,11.382,13.5,37.786,6.94,35.17,0.03,0.6,8.48,10.43,23.27,18.51,73.31,2.02,14.94,83.882
6.01,17.198,27.428,45.858,8.3,25.85,0.04,0.61,7.01,12.05,22.66,16.98,68.62,2.04,14.53,88.124
4.91,18.295,32.338,56.998,11.72,16.32,0.07,0.6,7.32,23.95,35.05,12.98,70.21,1.99,14.74,88.61
5.72,16.691,25.642,51.672,8.84,17.6,0.06,0.62,7.71,23.15,34.83,13.12,70.39,1.71,14.46,89.915
16.02,10.717,12.824,32.816,9.89,40.67,0.01,0.75,14.46,18.81,40.92,15.41,82.68,1.33,19.55,74.231
15.45,10.433,12.368,32.005,12.41,40.76,0.01,0.73,15.42,23.73,47.33,13.94,85.1,1.33,18.93,74.366
18.29,8.035,9.715,36.934,9.75,54.05,0.01,0.66,14.77,16.92,39.48,16.55,84.22,0.96,20.13,70.15
8.46,19.538,24.098,52.417,4.21,5.85,0.04,0.68,5.73,34.18,42.85,10.51,71.36,2.23,15.17,88.004
7.32,18.302,22.281,45.632,3.42,11.5,0.08,0.53,4.55,27.21,34.09,12.49,67.98,2.15,15.11,88.712
5.02,27.754,37.958,87.346,4.15,9.3,0.2,0.91,33.91,40.17,92.25,7.32,111.98,2.61,19.18,80.646
6.78,21.183,27.442,70.872,17.54,4.42,0.24,1.11,51.3,13.69,92.52,24.05,157.5,3.56,19.95,85.093
3.88,32.784,53.214,117.33,11.78,28.21,0.14,0.92,13.96,10.63,31.88,33.5,122.23,4.06,21.25,82.989
4.77,22.256,42.327,118.573,10.59,24.53,0.07,0.9,11.93,5.47,23.57,32.59,111.46,2.75,20.67,84.361
6.02,22.173,33.936,104.947,4.78,53.86,0.06,0.86,6.01,3.38,12.32,33.47,102.59,2.07,21.05,83.822
7.16,5.672,7.33,66.898,3.63,25.79,0.02,0.79,7.24,0.86,11.61,31.2,95.77,0.86,20.19,89.724
5.04,2.095,1.811,22.133,2.93,17.14,0,0.73,7.68,5.05,16.6,27.55,91,1.06,18.69,94.857
26.42,12.166,14.39,22.646,6.28,20.78,0,0.56,4.23,12.66,19,26.9,91.67,0.81,14.97,85.697
31.3,19.136,21.057,12.059,6.43,34.56,0,0.51,2.71,5.35,9.33,25.19,77.37,0.75,15.15,80.344
32.6,14.482,16.551,23.401,6.23,30.2,0,0.49,2.69,14.09,18.1,20.61,73.77,0.76,15.64,76.756
31.3,8.189,9.153,19.652,7.11,35.19,0,0.42,2.48,6.51,10.16,22.87,71.94,0.55,15.31,74.515
10.24,7.854,11.436,24.987,3.32,28.07,0.01,0.49,8.15,36.15,48.57,10.27,76.37,1.43,12.95,91.4
9.21,15.158,20.148,47.146,6.16,1.42,0.33,0.97,58.17,46.65,136.09,1.83,140.99,3.23,13.92,93.246
8.95,15.333,20.212,43.896,6.02,1.21,0.2,0.84,59.62,28.31,120,10.09,147.3,3.01,14.05,93.17
5.74,22.3,36.653,83.63,7.59,17.89,0.14,0.81,46.25,8.71,79.66,22.76,141.05,3.13,18.44,79.567
2.77,23.758,42.171,105.531,5.97,4.81,0.22,0.82,30.61,54.84,101.75,6.72,119.92,4.73,14.83,90.04
1.94,19.229,40.414,95.231,5.68,1.87,0.18,0.81,32.1,41,90.28,8.72,113.79,3.92,14.16,94.302
2.03,19.53,38.298,87.55,4.62,2.8,0.16,0.76,24.92,37.19,75.52,11.12,105.5,3.56,14.19,94.725
3.4,15.461,29.388,69.399,4.1,3.22,0.11,0.72,16.02,36.42,61.1,11.87,93.07,3.03,13.62,95.52
3.59,21.304,37.576,69.698,4.68,1.71,0.19,0.89,32.15,48.48,97.79,2.95,105.72,3.1,14.35,93.812
4.17,10.623,14.379,60.055,5.31,13.92,0.02,0.51,10.78,20.58,37.03,18.83,87.88,1.77,14.09,89.83
7.48,9.112,10.273,33.102,5.9,5.41,0.04,0.53,8.72,33.08,46.4,11.82,78.35,2.37,13.5,93.384
9.43,12.847,15.655,38.682,6.66,1.36,0.08,0.57,19.9,28.02,58.6,11.55,89.75,3.01,13.7,91.025
12.06,12.317,14.909,39.665,10.96,1.2,0.04,0.51,14.42,20.29,42.32,15.75,85.04,2.49,13.72,90.012
12.45,11.729,15.027,38.746,14.07,1.31,0.03,0.49,11.89,18.73,36.82,16.19,80.71,2.38,13.73,90.379
12.19,12.2,16.289,35.131,10.89,1.23,0.09,0.53,13.66,18.57,39.39,15.25,80.73,2.32,14.01,90.294
10.56,13.256,16.708,34.577,8.35,1.39,0.09,0.55,14.07,14.73,36.19,16.84,81.84,2.21,14.11,91.198
14.59,10.733,13.278,33.911,6.04,5.43,0.06,0.53,10.35,11.27,27,19.26,79.06,1.72,13.89,90.256
16.38,8.969,11.527,24.752,5.48,5.19,0.11,0.58,10.48,14.39,30.34,17.61,77.99,1.55,14.01,88.917
15.97,10.678,13.381,25.692,5.69,2.16,0.23,0.8,26.69,31.99,72.98,6.72,91.09,1.89,14.29,89.193
12.62,17.611,23.304,36.186,8.68,4.73,0.25,1.14,68.32,43.09,148.21,1.58,152.48,4.01,15.21,83.483
13.53,16.085,21.658,61.379,7.43,6.46,0.14,0.98,64.08,14.76,113.27,17.24,159.92,2.91,15.39,77.993
13.52,16.007,22.556,54.111,6.38,11.16,0.12,0.77,52.3,0.06,80.35,26.9,152.94,2.62,15.74,74.006
